INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
0;2010-07-01;1;530000;18684
1;2010-07-01;1;530000;17925
2;2010-07-01;1;530000;17406
3;2010-07-01;1;530000;16951
4;2010-07-01;1;530000;16758
5;2010-07-01;1;530000;17416
6;2010-07-01;1;530000;19020
7;2010-07-01;1;530000;20678
8;2010-07-01;1;530000;22798
9;2010-07-01;1;530000;23756
10;2010-07-01;1;530000;23873
11;2010-07-01;1;530000;23701
12;2010-07-01;1;530000;23916
13;2010-07-01;1;530000;23990
14;2010-07-01;1;530000;23938
15;2010-07-01;1;530000;23618
16;2010-07-01;1;530000;23013
17;2010-07-01;1;530000;22762
18;2010-07-01;1;530000;22356
19;2010-07-01;1;530000;21952
20;2010-07-01;1;530000;21921
21;2010-07-01;1;530000;21776
22;2010-07-01;1;530000;22039
23;2010-07-01;1;530000;20299
0;2010-07-02;1;530000;18570
1;2010-07-02;1;530000;17849
2;2010-07-02;1;530000;17279
3;2010-07-02;1;530000;16884
4;2010-07-02;1;530000;16851
5;2010-07-02;1;530000;17443
6;2010-07-02;1;530000;19080
7;2010-07-02;1;530000;20983
8;2010-07-02;1;530000;23160
9;2010-07-02;1;530000;23924
10;2010-07-02;1;530000;24237
11;2010-07-02;1;530000;23698
12;2010-07-02;1;530000;23931
13;2010-07-02;1;530000;23979
14;2010-07-02;1;530000;23788
15;2010-07-02;1;530000;23419
16;2010-07-02;1;530000;22974
17;2010-07-02;1;530000;22773
18;2010-07-02;1;530000;22438
19;2010-07-02;1;530000;21913
20;2010-07-02;1;530000;21891
21;2010-07-02;1;530000;21972
22;2010-07-02;1;530000;22046
23;2010-07-02;1;530000;20459
0;2010-07-03;1;530000;19109
1;2010-07-03;1;530000;18051
2;2010-07-03;1;530000;17657
3;2010-07-03;1;530000;17268
4;2010-07-03;1;530000;16652
5;2010-07-03;1;530000;16961
6;2010-07-03;1;530000;17520
7;2010-07-03;1;530000;18389
8;2010-07-03;1;530000;19774
