INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
0;01.07.2010 0:00:00;1;840000;7909
1;01.07.2010 0:00:00;1;840000;7566
2;01.07.2010 0:00:00;1;840000;7386
3;01.07.2010 0:00:00;1;840000;7164
4;01.07.2010 0:00:00;1;840000;7136
5;01.07.2010 0:00:00;1;840000;7291
6;01.07.2010 0:00:00;1;840000;7775
7;01.07.2010 0:00:00;1;840000;8340
8;01.07.2010 0:00:00;1;840000;9048
9;01.07.2010 0:00:00;1;840000;9325
10;01.07.2010 0:00:00;1;840000;9539
11;01.07.2010 0:00:00;1;840000;9497
12;01.07.2010 0:00:00;1;840000;9427
13;01.07.2010 0:00:00;1;840000;9523
14;01.07.2010 0:00:00;1;840000;9480
15;01.07.2010 0:00:00;1;840000;9405
16;01.07.2010 0:00:00;1;840000;9274
17;01.07.2010 0:00:00;1;840000;9177
18;01.07.2010 0:00:00;1;840000;9080
19;01.07.2010 0:00:00;1;840000;8991
20;01.07.2010 0:00:00;1;840000;9003
21;01.07.2010 0:00:00;1;840000;8869
22;01.07.2010 0:00:00;1;840000;8565
23;01.07.2010 0:00:00;1;840000;8445
0;02.07.2010 0:00:00;1;840000;7981
1;02.07.2010 0:00:00;1;840000;7602
2;02.07.2010 0:00:00;1;840000;7481
3;02.07.2010 0:00:00;1;840000;7307
4;02.07.2010 0:00:00;1;840000;7205
5;02.07.2010 0:00:00;1;840000;7316
6;02.07.2010 0:00:00;1;840000;7759
7;02.07.2010 0:00:00;1;840000;8266
8;02.07.2010 0:00:00;1;840000;8950
9;02.07.2010 0:00:00;1;840000;9286
10;02.07.2010 0:00:00;1;840000;9364
11;02.07.2010 0:00:00;1;840000;9349
12;02.07.2010 0:00:00;1;840000;9406
13;02.07.2010 0:00:00;1;840000;9391
14;02.07.2010 0:00:00;1;840000;9267
15;02.07.2010 0:00:00;1;840000;9229
16;02.07.2010 0:00:00;1;840000;9170
17;02.07.2010 0:00:00;1;840000;9138
18;02.07.2010 0:00:00;1;840000;9068
19;02.07.2010 0:00:00;1;840000;8884
20;02.07.2010 0:00:00;1;840000;8822
21;02.07.2010 0:00:00;1;840000;8684
22;02.07.2010 0:00:00;1;840000;8520
23;02.07.2010 0:00:00;1;840000;8423
0;03.07.2010 0:00:00;1;840000;8087
1;03.07.2010 0:00:00;1;840000;7637
2;03.07.2010 0:00:00;1;840000;7427
3;03.07.2010 0:00:00;1;840000;7120
4;03.07.2010 0:00:00;1;840000;7100
5;03.07.2010 0:00:00;1;840000;7170
6;03.07.2010 0:00:00;1;840000;7350
7;03.07.2010 0:00:00;1;840000;7590
8;03.07.2010 0:00:00;1;840000;8170
9;03.07.2010 0:00:00;1;840000;8501
10;03.07.2010 0:00:00;1;840000;8739
11;03.07.2010 0:00:00;1;840000;8693
12;03.07.2010 0:00:00;1;840000;8666
13;03.07.2010 0:00:00;1;840000;8629
14;03.07.2010 0:00:00;1;840000;8569
15;03.07.2010 0:00:00;1;840000;8520
16;03.07.2010 0:00:00;1;840000;8520
17;03.07.2010 0:00:00;1;840000;8476
18;03.07.2010 0:00:00;1;840000;8536
19;03.07.2010 0:00:00;1;840000;8380
20;03.07.2010 0:00:00;1;840000;8518
21;03.07.2010 0:00:00;1;840000;8345
22;03.07.2010 0:00:00;1;840000;8182
23;03.07.2010 0:00:00;1;840000;8101
0;04.07.2010 0:00:00;1;840000;7839
1;04.07.2010 0:00:00;1;840000;7396
2;04.07.2010 0:00:00;1;840000;7177
3;04.07.2010 0:00:00;1;840000;7004
4;04.07.2010 0:00:00;1;840000;6910
5;04.07.2010 0:00:00;1;840000;6916
6;04.07.2010 0:00:00;1;840000;7095
7;04.07.2010 0:00:00;1;840000;7174
8;04.07.2010 0:00:00;1;840000;7666
9;04.07.2010 0:00:00;1;840000;8071
10;04.07.2010 0:00:00;1;840000;8250
11;04.07.2010 0:00:00;1;840000;8282
12;04.07.2010 0:00:00;1;840000;8283
13;04.07.2010 0:00:00;1;840000;8263
14;04.07.2010 0:00:00;1;840000;8248
15;04.07.2010 0:00:00;1;840000;8207
16;04.07.2010 0:00:00;1;840000;8236
17;04.07.2010 0:00:00;1;840000;8286
18;04.07.2010 0:00:00;1;840000;8325
19;04.07.2010 0:00:00;1;840000;8319
20;04.07.2010 0:00:00;1;840000;8429
21;04.07.2010 0:00:00;1;840000;8341
22;04.07.2010 0:00:00;1;840000;8259
23;04.07.2010 0:00:00;1;840000;8070
0;05.07.2010 0:00:00;1;840000;7779
1;05.07.2010 0:00:00;1;840000;7420
2;05.07.2010 0:00:00;1;840000;7227
3;05.07.2010 0:00:00;1;840000;7025
4;05.07.2010 0:00:00;1;840000;7016
5;05.07.2010 0:00:00;1;840000;7134
6;05.07.2010 0:00:00;1;840000;7621
7;05.07.2010 0:00:00;1;840000;8178
8;05.07.2010 0:00:00;1;840000;8854
9;05.07.2010 0:00:00;1;840000;9340
10;05.07.2010 0:00:00;1;840000;9388
11;05.07.2010 0:00:00;1;840000;9246
12;05.07.2010 0:00:00;1;840000;9272
13;05.07.2010 0:00:00;1;840000;9377
14;05.07.2010 0:00:00;1;840000;9284
15;05.07.2010 0:00:00;1;840000;9261
16;05.07.2010 0:00:00;1;840000;9073
17;05.07.2010 0:00:00;1;840000;8916
18;05.07.2010 0:00:00;1;840000;8743
19;05.07.2010 0:00:00;1;840000;8668
20;05.07.2010 0:00:00;1;840000;8668
21;05.07.2010 0:00:00;1;840000;8576
22;05.07.2010 0:00:00;1;840000;8363
23;05.07.2010 0:00:00;1;840000;8179
0;06.07.2010 0:00:00;1;840000;7831
1;06.07.2010 0:00:00;1;840000;7476
2;06.07.2010 0:00:00;1;840000;7294
3;06.07.2010 0:00:00;1;840000;7117
4;06.07.2010 0:00:00;1;840000;7000
5;06.07.2010 0:00:00;1;840000;7147
6;06.07.2010 0:00:00;1;840000;7509
7;06.07.2010 0:00:00;1;840000;8163
8;06.07.2010 0:00:00;1;840000;8861
9;06.07.2010 0:00:00;1;840000;9202
10;06.07.2010 0:00:00;1;840000;9307
11;06.07.2010 0:00:00;1;840000;9184
12;06.07.2010 0:00:00;1;840000;9229
13;06.07.2010 0:00:00;1;840000;9361
14;06.07.2010 0:00:00;1;840000;9119
15;06.07.2010 0:00:00;1;840000;9044
16;06.07.2010 0:00:00;1;840000;8970
17;06.07.2010 0:00:00;1;840000;8823
18;06.07.2010 0:00:00;1;840000;8686
19;06.07.2010 0:00:00;1;840000;8599
20;06.07.2010 0:00:00;1;840000;8625
21;06.07.2010 0:00:00;1;840000;8497
22;06.07.2010 0:00:00;1;840000;8356
23;06.07.2010 0:00:00;1;840000;8201
0;07.07.2010 0:00:00;1;840000;7745
1;07.07.2010 0:00:00;1;840000;7351
2;07.07.2010 0:00:00;1;840000;7200
3;07.07.2010 0:00:00;1;840000;7033
4;07.07.2010 0:00:00;1;840000;6999
5;07.07.2010 0:00:00;1;840000;7129
6;07.07.2010 0:00:00;1;840000;7598
7;07.07.2010 0:00:00;1;840000;8146
8;07.07.2010 0:00:00;1;840000;8818
9;07.07.2010 0:00:00;1;840000;9109
10;07.07.2010 0:00:00;1;840000;9250
11;07.07.2010 0:00:00;1;840000;9128
12;07.07.2010 0:00:00;1;840000;9219
13;07.07.2010 0:00:00;1;840000;9266
14;07.07.2010 0:00:00;1;840000;9258
15;07.07.2010 0:00:00;1;840000;9115
16;07.07.2010 0:00:00;1;840000;9057
17;07.07.2010 0:00:00;1;840000;8964
18;07.07.2010 0:00:00;1;840000;8836
19;07.07.2010 0:00:00;1;840000;8673
20;07.07.2010 0:00:00;1;840000;8673
21;07.07.2010 0:00:00;1;840000;8635
22;07.07.2010 0:00:00;1;840000;8463
23;07.07.2010 0:00:00;1;840000;8210
0;08.07.2010 0:00:00;1;840000;7819
1;08.07.2010 0:00:00;1;840000;7486
2;08.07.2010 0:00:00;1;840000;7319
3;08.07.2010 0:00:00;1;840000;7114
4;08.07.2010 0:00:00;1;840000;7021
5;08.07.2010 0:00:00;1;840000;7253
6;08.07.2010 0:00:00;1;840000;7525
7;08.07.2010 0:00:00;1;840000;8168
