INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
0;01.07.2010 0:00:00;2;610000;18533
1;01.07.2010 0:00:00;2;610000;18306
2;01.07.2010 0:00:00;2;610000;18996
3;01.07.2010 0:00:00;2;610000;19530
4;01.07.2010 0:00:00;2;610000;20242
5;01.07.2010 0:00:00;2;610000;20790
6;01.07.2010 0:00:00;2;610000;20962
7;01.07.2010 0:00:00;2;610000;20981
8;01.07.2010 0:00:00;2;610000;20819
9;01.07.2010 0:00:00;2;610000;20771
10;01.07.2010 0:00:00;2;610000;20724
11;01.07.2010 0:00:00;2;610000;20756
12;01.07.2010 0:00:00;2;610000;20406
13;01.07.2010 0:00:00;2;610000;20437
14;01.07.2010 0:00:00;2;610000;20628
15;01.07.2010 0:00:00;2;610000;20579
16;01.07.2010 0:00:00;2;610000;20543
17;01.07.2010 0:00:00;2;610000;20735
18;01.07.2010 0:00:00;2;610000;20434
19;01.07.2010 0:00:00;2;610000;19915
20;01.07.2010 0:00:00;2;610000;19200
21;01.07.2010 0:00:00;2;610000;18605
22;01.07.2010 0:00:00;2;610000;18223
23;01.07.2010 0:00:00;2;610000;18463
0;02.07.2010 0:00:00;2;610000;18517
1;02.07.2010 0:00:00;2;610000;18453
2;02.07.2010 0:00:00;2;610000;18874
3;02.07.2010 0:00:00;2;610000;19695
4;02.07.2010 0:00:00;2;610000;20192
5;02.07.2010 0:00:00;2;610000;20784
6;02.07.2010 0:00:00;2;610000;20914
7;02.07.2010 0:00:00;2;610000;20918
8;02.07.2010 0:00:00;2;610000;20716
9;02.07.2010 0:00:00;2;610000;20797
10;02.07.2010 0:00:00;2;610000;20458
11;02.07.2010 0:00:00;2;610000;20665
12;02.07.2010 0:00:00;2;610000;20643
13;02.07.2010 0:00:00;2;610000;20399
14;02.07.2010 0:00:00;2;610000;20424
15;02.07.2010 0:00:00;2;610000;20478
16;02.07.2010 0:00:00;2;610000;20167
17;02.07.2010 0:00:00;2;610000;20488
18;02.07.2010 0:00:00;2;610000;20513
19;02.07.2010 0:00:00;2;610000;19915
20;02.07.2010 0:00:00;2;610000;19241
21;02.07.2010 0:00:00;2;610000;18760
22;02.07.2010 0:00:00;2;610000;18446
23;02.07.2010 0:00:00;2;610000;18472
0;03.07.2010 0:00:00;2;610000;18275
