INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
0;01.07.2010 0:00:00;1;550000;7601
1;01.07.2010 0:00:00;1;550000;7228
2;01.07.2010 0:00:00;1;550000;7159
3;01.07.2010 0:00:00;1;550000;7113
4;01.07.2010 0:00:00;1;550000;7034
5;01.07.2010 0:00:00;1;550000;7062
6;01.07.2010 0:00:00;1;550000;7464
7;01.07.2010 0:00:00;1;550000;7972
8;01.07.2010 0:00:00;1;550000;8762
9;01.07.2010 0:00:00;1;550000;9150
10;01.07.2010 0:00:00;1;550000;9258
11;01.07.2010 0:00:00;1;550000;9307
12;01.07.2010 0:00:00;1;550000;9292
13;01.07.2010 0:00:00;1;550000;9467
14;01.07.2010 0:00:00;1;550000;9450
15;01.07.2010 0:00:00;1;550000;9535
16;01.07.2010 0:00:00;1;550000;9276
17;01.07.2010 0:00:00;1;550000;9203
18;01.07.2010 0:00:00;1;550000;9043
19;01.07.2010 0:00:00;1;550000;8907
20;01.07.2010 0:00:00;1;550000;9356
21;01.07.2010 0:00:00;1;550000;9844
22;01.07.2010 0:00:00;1;550000;9298
23;01.07.2010 0:00:00;1;550000;8358
0;02.07.2010 0:00:00;1;550000;7583
1;02.07.2010 0:00:00;1;550000;7205
2;02.07.2010 0:00:00;1;550000;7171
3;02.07.2010 0:00:00;1;550000;7165
4;02.07.2010 0:00:00;1;550000;6957
5;02.07.2010 0:00:00;1;550000;7127
6;02.07.2010 0:00:00;1;550000;7434
7;02.07.2010 0:00:00;1;550000;8037
8;02.07.2010 0:00:00;1;550000;8844
9;02.07.2010 0:00:00;1;550000;9311
10;02.07.2010 0:00:00;1;550000;9385
11;02.07.2010 0:00:00;1;550000;9242
12;02.07.2010 0:00:00;1;550000;9312
13;02.07.2010 0:00:00;1;550000;9504
14;02.07.2010 0:00:00;1;550000;9434
15;02.07.2010 0:00:00;1;550000;9406
16;02.07.2010 0:00:00;1;550000;9261
17;02.07.2010 0:00:00;1;550000;9143
18;02.07.2010 0:00:00;1;550000;9099
19;02.07.2010 0:00:00;1;550000;9093
20;02.07.2010 0:00:00;1;550000;9306
21;02.07.2010 0:00:00;1;550000;9988
22;02.07.2010 0:00:00;1;550000;9535
23;02.07.2010 0:00:00;1;550000;8516
0;03.07.2010 0:00:00;1;550000;7856
1;03.07.2010 0:00:00;1;550000;7601
2;03.07.2010 0:00:00;1;550000;7287
3;03.07.2010 0:00:00;1;550000;7195
4;03.07.2010 0:00:00;1;550000;6971
5;03.07.2010 0:00:00;1;550000;6905
6;03.07.2010 0:00:00;1;550000;7070
7;03.07.2010 0:00:00;1;550000;7558
8;03.07.2010 0:00:00;1;550000;8308
9;03.07.2010 0:00:00;1;550000;8767
10;03.07.2010 0:00:00;1;550000;9009
11;03.07.2010 0:00:00;1;550000;8982
12;03.07.2010 0:00:00;1;550000;9087
13;03.07.2010 0:00:00;1;550000;9194
14;03.07.2010 0:00:00;1;550000;9183
15;03.07.2010 0:00:00;1;550000;9100
16;03.07.2010 0:00:00;1;550000;9205
17;03.07.2010 0:00:00;1;550000;9202
18;03.07.2010 0:00:00;1;550000;9205
19;03.07.2010 0:00:00;1;550000;9027
20;03.07.2010 0:00:00;1;550000;9272
21;03.07.2010 0:00:00;1;550000;9986
22;03.07.2010 0:00:00;1;550000;9652
23;03.07.2010 0:00:00;1;550000;8678
0;04.07.2010 0:00:00;1;550000;7971
1;04.07.2010 0:00:00;1;550000;7477
2;04.07.2010 0:00:00;1;550000;7257
3;04.07.2010 0:00:00;1;550000;7158
4;04.07.2010 0:00:00;1;550000;7107
5;04.07.2010 0:00:00;1;550000;7040
6;04.07.2010 0:00:00;1;550000;7074
7;04.07.2010 0:00:00;1;550000;7326
8;04.07.2010 0:00:00;1;550000;8099
9;04.07.2010 0:00:00;1;550000;8502
10;04.07.2010 0:00:00;1;550000;8816
11;04.07.2010 0:00:00;1;550000;8833
12;04.07.2010 0:00:00;1;550000;8963
13;04.07.2010 0:00:00;1;550000;8906
14;04.07.2010 0:00:00;1;550000;8878
15;04.07.2010 0:00:00;1;550000;8868
16;04.07.2010 0:00:00;1;550000;9033
17;04.07.2010 0:00:00;1;550000;8839
18;04.07.2010 0:00:00;1;550000;8943
19;04.07.2010 0:00:00;1;550000;8759
20;04.07.2010 0:00:00;1;550000;9297
21;04.07.2010 0:00:00;1;550000;10002
22;04.07.2010 0:00:00;1;550000;9524
23;04.07.2010 0:00:00;1;550000;8432
0;05.07.2010 0:00:00;1;550000;7837
1;05.07.2010 0:00:00;1;550000;7449
2;05.07.2010 0:00:00;1;550000;7322
