INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
0;01.07.2010 0:00:00;1;630000;22646
1;01.07.2010 0:00:00;1;630000;22719
2;01.07.2010 0:00:00;1;630000;22702
3;01.07.2010 0:00:00;1;630000;22620
4;01.07.2010 0:00:00;1;630000;23047
5;01.07.2010 0:00:00;1;630000;23873
6;01.07.2010 0:00:00;1;630000;24815
7;01.07.2010 0:00:00;1;630000;25472
8;01.07.2010 0:00:00;1;630000;25695
9;01.07.2010 0:00:00;1;630000;25398
10;01.07.2010 0:00:00;1;630000;25564
11;01.07.2010 0:00:00;1;630000;25647
12;01.07.2010 0:00:00;1;630000;25540
13;01.07.2010 0:00:00;1;630000;25456
14;01.07.2010 0:00:00;1;630000;25097
15;01.07.2010 0:00:00;1;630000;25108
16;01.07.2010 0:00:00;1;630000;24904
17;01.07.2010 0:00:00;1;630000;24597
18;01.07.2010 0:00:00;1;630000;24719
19;01.07.2010 0:00:00;1;630000;24765
20;01.07.2010 0:00:00;1;630000;24767
21;01.07.2010 0:00:00;1;630000;24337
22;01.07.2010 0:00:00;1;630000;23720
23;01.07.2010 0:00:00;1;630000;23243
0;02.07.2010 0:00:00;1;630000;22790
1;02.07.2010 0:00:00;1;630000;22691
2;02.07.2010 0:00:00;1;630000;22589
3;02.07.2010 0:00:00;1;630000;22834
4;02.07.2010 0:00:00;1;630000;23439
5;02.07.2010 0:00:00;1;630000;24273
6;02.07.2010 0:00:00;1;630000;25122
7;02.07.2010 0:00:00;1;630000;25879
8;02.07.2010 0:00:00;1;630000;25967
9;02.07.2010 0:00:00;1;630000;25772
10;02.07.2010 0:00:00;1;630000;25931
11;02.07.2010 0:00:00;1;630000;25911
12;02.07.2010 0:00:00;1;630000;25805
13;02.07.2010 0:00:00;1;630000;25500
14;02.07.2010 0:00:00;1;630000;25450
15;02.07.2010 0:00:00;1;630000;25190
16;02.07.2010 0:00:00;1;630000;24920
17;02.07.2010 0:00:00;1;630000;24675
18;02.07.2010 0:00:00;1;630000;24590
19;02.07.2010 0:00:00;1;630000;24653
20;02.07.2010 0:00:00;1;630000;24743
21;02.07.2010 0:00:00;1;630000;24559
22;02.07.2010 0:00:00;1;630000;24031
23;02.07.2010 0:00:00;1;630000;23425
0;03.07.2010 0:00:00;1;630000;23179
1;03.07.2010 0:00:00;1;630000;23075
2;03.07.2010 0:00:00;1;630000;22732
3;03.07.2010 0:00:00;1;630000;22588
4;03.07.2010 0:00:00;1;630000;22604
5;03.07.2010 0:00:00;1;630000;22795
6;03.07.2010 0:00:00;1;630000;23315
7;03.07.2010 0:00:00;1;630000;24110
8;03.07.2010 0:00:00;1;630000;24633
9;03.07.2010 0:00:00;1;630000;24814
10;03.07.2010 0:00:00;1;630000;24580
11;03.07.2010 0:00:00;1;630000;24619
12;03.07.2010 0:00:00;1;630000;24580
13;03.07.2010 0:00:00;1;630000;24497
14;03.07.2010 0:00:00;1;630000;24432
15;03.07.2010 0:00:00;1;630000;24256
16;03.07.2010 0:00:00;1;630000;24306
17;03.07.2010 0:00:00;1;630000;23958
18;03.07.2010 0:00:00;1;630000;24020
19;03.07.2010 0:00:00;1;630000;24189
20;03.07.2010 0:00:00;1;630000;24236
21;03.07.2010 0:00:00;1;630000;24272
22;03.07.2010 0:00:00;1;630000;23753
23;03.07.2010 0:00:00;1;630000;23188
0;04.07.2010 0:00:00;1;630000;22692
1;04.07.2010 0:00:00;1;630000;22596
2;04.07.2010 0:00:00;1;630000;22556
3;04.07.2010 0:00:00;1;630000;22082
4;04.07.2010 0:00:00;1;630000;22191
5;04.07.2010 0:00:00;1;630000;22388
6;04.07.2010 0:00:00;1;630000;23151
7;04.07.2010 0:00:00;1;630000;23950
8;04.07.2010 0:00:00;1;630000;24297
9;04.07.2010 0:00:00;1;630000;24531
10;04.07.2010 0:00:00;1;630000;24291
11;04.07.2010 0:00:00;1;630000;24484
12;04.07.2010 0:00:00;1;630000;24401
13;04.07.2010 0:00:00;1;630000;24167
14;04.07.2010 0:00:00;1;630000;24070
15;04.07.2010 0:00:00;1;630000;24365
16;04.07.2010 0:00:00;1;630000;24394
17;04.07.2010 0:00:00;1;630000;24245
18;04.07.2010 0:00:00;1;630000;24561
19;04.07.2010 0:00:00;1;630000;24608
20;04.07.2010 0:00:00;1;630000;24760
21;04.07.2010 0:00:00;1;630000;24244
22;04.07.2010 0:00:00;1;630000;23470
23;04.07.2010 0:00:00;1;630000;22943
0;05.07.2010 0:00:00;1;630000;22776
1;05.07.2010 0:00:00;1;630000;22658
2;05.07.2010 0:00:00;1;630000;22419
