INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
0;01.07.2010 0:00:00;1;600000;9466
1;01.07.2010 0:00:00;1;600000;9047
2;01.07.2010 0:00:00;1;600000;8906
3;01.07.2010 0:00:00;1;600000;8753
4;01.07.2010 0:00:00;1;600000;8767
5;01.07.2010 0:00:00;1;600000;9209
6;01.07.2010 0:00:00;1;600000;9787
7;01.07.2010 0:00:00;1;600000;10904
8;01.07.2010 0:00:00;1;600000;11604
9;01.07.2010 0:00:00;1;600000;11862
10;01.07.2010 0:00:00;1;600000;11700
11;01.07.2010 0:00:00;1;600000;11408
12;01.07.2010 0:00:00;1;600000;11542
13;01.07.2010 0:00:00;1;600000;11755
14;01.07.2010 0:00:00;1;600000;11522
15;01.07.2010 0:00:00;1;600000;11358
16;01.07.2010 0:00:00;1;600000;11164
17;01.07.2010 0:00:00;1;600000;11010
18;01.07.2010 0:00:00;1;600000;10931
19;01.07.2010 0:00:00;1;600000;10795
20;01.07.2010 0:00:00;1;600000;10821
21;01.07.2010 0:00:00;1;600000;10998
22;01.07.2010 0:00:00;1;600000;10776
23;01.07.2010 0:00:00;1;600000;9940
0;02.07.2010 0:00:00;1;600000;9404
1;02.07.2010 0:00:00;1;600000;9126
2;02.07.2010 0:00:00;1;600000;8903
3;02.07.2010 0:00:00;1;600000;8759
4;02.07.2010 0:00:00;1;600000;8863
5;02.07.2010 0:00:00;1;600000;9267
6;02.07.2010 0:00:00;1;600000;9891
7;02.07.2010 0:00:00;1;600000;10901
8;02.07.2010 0:00:00;1;600000;11539
9;02.07.2010 0:00:00;1;600000;11784
10;02.07.2010 0:00:00;1;600000;11728
11;02.07.2010 0:00:00;1;600000;11497
12;02.07.2010 0:00:00;1;600000;11633
13;02.07.2010 0:00:00;1;600000;11746
14;02.07.2010 0:00:00;1;600000;11613
15;02.07.2010 0:00:00;1;600000;11253
16;02.07.2010 0:00:00;1;600000;10926
17;02.07.2010 0:00:00;1;600000;10880
18;02.07.2010 0:00:00;1;600000;10797
19;02.07.2010 0:00:00;1;600000;10529
20;02.07.2010 0:00:00;1;600000;10622
21;02.07.2010 0:00:00;1;600000;10775
22;02.07.2010 0:00:00;1;600000;10503
23;02.07.2010 0:00:00;1;600000;9823
0;03.07.2010 0:00:00;1;600000;9341
1;03.07.2010 0:00:00;1;600000;8977
2;03.07.2010 0:00:00;1;600000;8726
3;03.07.2010 0:00:00;1;600000;8649
4;03.07.2010 0:00:00;1;600000;8524
5;03.07.2010 0:00:00;1;600000;8631
6;03.07.2010 0:00:00;1;600000;9040
7;03.07.2010 0:00:00;1;600000;9629
8;03.07.2010 0:00:00;1;600000;10270
9;03.07.2010 0:00:00;1;600000;10453
10;03.07.2010 0:00:00;1;600000;10521
11;03.07.2010 0:00:00;1;600000;10422
12;03.07.2010 0:00:00;1;600000;10482
13;03.07.2010 0:00:00;1;600000;10444
14;03.07.2010 0:00:00;1;600000;10352
15;03.07.2010 0:00:00;1;600000;10200
16;03.07.2010 0:00:00;1;600000;10159
17;03.07.2010 0:00:00;1;600000;10140
18;03.07.2010 0:00:00;1;600000;10054
19;03.07.2010 0:00:00;1;600000;9957
20;03.07.2010 0:00:00;1;600000;10070
21;03.07.2010 0:00:00;1;600000;10226
22;03.07.2010 0:00:00;1;600000;10014
23;03.07.2010 0:00:00;1;600000;9408
0;04.07.2010 0:00:00;1;600000;8993
1;04.07.2010 0:00:00;1;600000;8588
2;04.07.2010 0:00:00;1;600000;8586
3;04.07.2010 0:00:00;1;600000;8353
4;04.07.2010 0:00:00;1;600000;8288
5;04.07.2010 0:00:00;1;600000;8395
6;04.07.2010 0:00:00;1;600000;8561
7;04.07.2010 0:00:00;1;600000;8939
8;04.07.2010 0:00:00;1;600000;9442
9;04.07.2010 0:00:00;1;600000;9753
10;04.07.2010 0:00:00;1;600000;9763
11;04.07.2010 0:00:00;1;600000;9877
12;04.07.2010 0:00:00;1;600000;10024
13;04.07.2010 0:00:00;1;600000;9855
14;04.07.2010 0:00:00;1;600000;9858
15;04.07.2010 0:00:00;1;600000;10007
16;04.07.2010 0:00:00;1;600000;9816
17;04.07.2010 0:00:00;1;600000;9970
18;04.07.2010 0:00:00;1;600000;9645
19;04.07.2010 0:00:00;1;600000;9827
20;04.07.2010 0:00:00;1;600000;9892
21;04.07.2010 0:00:00;1;600000;10363
22;04.07.2010 0:00:00;1;600000;10095
23;04.07.2010 0:00:00;1;600000;9587
0;05.07.2010 0:00:00;1;600000;8980
1;05.07.2010 0:00:00;1;600000;8738
2;05.07.2010 0:00:00;1;600000;8595
3;05.07.2010 0:00:00;1;600000;8568
4;05.07.2010 0:00:00;1;600000;8557
5;05.07.2010 0:00:00;1;600000;8963
6;05.07.2010 0:00:00;1;600000;9787
7;05.07.2010 0:00:00;1;600000;10936
8;05.07.2010 0:00:00;1;600000;11777
9;05.07.2010 0:00:00;1;600000;11894
10;05.07.2010 0:00:00;1;600000;11682
11;05.07.2010 0:00:00;1;600000;11747
12;05.07.2010 0:00:00;1;600000;11981
13;05.07.2010 0:00:00;1;600000;12040
14;05.07.2010 0:00:00;1;600000;11903
15;05.07.2010 0:00:00;1;600000;11523
16;05.07.2010 0:00:00;1;600000;11395
17;05.07.2010 0:00:00;1;600000;11268
18;05.07.2010 0:00:00;1;600000;10924
19;05.07.2010 0:00:00;1;600000;10872
20;05.07.2010 0:00:00;1;600000;10795
21;05.07.2010 0:00:00;1;600000;11112
22;05.07.2010 0:00:00;1;600000;10708
23;05.07.2010 0:00:00;1;600000;9964
0;06.07.2010 0:00:00;1;600000;9371
1;06.07.2010 0:00:00;1;600000;9151
2;06.07.2010 0:00:00;1;600000;9070
3;06.07.2010 0:00:00;1;600000;8892
4;06.07.2010 0:00:00;1;600000;8838
5;06.07.2010 0:00:00;1;600000;9220
6;06.07.2010 0:00:00;1;600000;9962
7;06.07.2010 0:00:00;1;600000;11076
8;06.07.2010 0:00:00;1;600000;11739
9;06.07.2010 0:00:00;1;600000;11945
10;06.07.2010 0:00:00;1;600000;11642
11;06.07.2010 0:00:00;1;600000;11674
12;06.07.2010 0:00:00;1;600000;11636
13;06.07.2010 0:00:00;1;600000;11752
14;06.07.2010 0:00:00;1;600000;11644
15;06.07.2010 0:00:00;1;600000;11465
16;06.07.2010 0:00:00;1;600000;11255
17;06.07.2010 0:00:00;1;600000;10963
18;06.07.2010 0:00:00;1;600000;10727
19;06.07.2010 0:00:00;1;600000;10716
20;06.07.2010 0:00:00;1;600000;10523
21;06.07.2010 0:00:00;1;600000;11078
22;06.07.2010 0:00:00;1;600000;10604
23;06.07.2010 0:00:00;1;600000;9799
0;07.07.2010 0:00:00;1;600000;9344
1;07.07.2010 0:00:00;1;600000;9039
2;07.07.2010 0:00:00;1;600000;8864
3;07.07.2010 0:00:00;1;600000;8790
4;07.07.2010 0:00:00;1;600000;8810
5;07.07.2010 0:00:00;1;600000;9079
6;07.07.2010 0:00:00;1;600000;9928
7;07.07.2010 0:00:00;1;600000;10963
8;07.07.2010 0:00:00;1;600000;11639
9;07.07.2010 0:00:00;1;600000;11961
10;07.07.2010 0:00:00;1;600000;11750
11;07.07.2010 0:00:00;1;600000;11804
12;07.07.2010 0:00:00;1;600000;11820
13;07.07.2010 0:00:00;1;600000;11967
14;07.07.2010 0:00:00;1;600000;11848
15;07.07.2010 0:00:00;1;600000;11619
16;07.07.2010 0:00:00;1;600000;11411
17;07.07.2010 0:00:00;1;600000;11023
18;07.07.2010 0:00:00;1;600000;10926
19;07.07.2010 0:00:00;1;600000;10640
20;07.07.2010 0:00:00;1;600000;10711
21;07.07.2010 0:00:00;1;600000;11109
22;07.07.2010 0:00:00;1;600000;10734
23;07.07.2010 0:00:00;1;600000;10089
0;08.07.2010 0:00:00;1;600000;9463
1;08.07.2010 0:00:00;1;600000;9234
2;08.07.2010 0:00:00;1;600000;8981
3;08.07.2010 0:00:00;1;600000;8786
4;08.07.2010 0:00:00;1;600000;8925
5;08.07.2010 0:00:00;1;600000;9233
6;08.07.2010 0:00:00;1;600000;9890
7;08.07.2010 0:00:00;1;600000;11114
8;08.07.2010 0:00:00;1;600000;11823
9;08.07.2010 0:00:00;1;600000;12101
10;08.07.2010 0:00:00;1;600000;11901
11;08.07.2010 0:00:00;1;600000;11729
12;08.07.2010 0:00:00;1;600000;11811
13;08.07.2010 0:00:00;1;600000;12185
14;08.07.2010 0:00:00;1;600000;12046
15;08.07.2010 0:00:00;1;600000;11800
16;08.07.2010 0:00:00;1;600000;11425
17;08.07.2010 0:00:00;1;600000;11151
18;08.07.2010 0:00:00;1;600000;11066
19;08.07.2010 0:00:00;1;600000;10751
20;08.07.2010 0:00:00;1;600000;10779
21;08.07.2010 0:00:00;1;600000;11163
22;08.07.2010 0:00:00;1;600000;10753
23;08.07.2010 0:00:00;1;600000;10012
0;09.07.2010 0:00:00;1;600000;9387
1;09.07.2010 0:00:00;1;600000;9167
2;09.07.2010 0:00:00;1;600000;9033
3;09.07.2010 0:00:00;1;600000;8831
4;09.07.2010 0:00:00;1;600000;8808
5;09.07.2010 0:00:00;1;600000;9146
6;09.07.2010 0:00:00;1;600000;9905
7;09.07.2010 0:00:00;1;600000;11086
8;09.07.2010 0:00:00;1;600000;11764
9;09.07.2010 0:00:00;1;600000;12085
10;09.07.2010 0:00:00;1;600000;11837
11;09.07.2010 0:00:00;1;600000;11818
12;09.07.2010 0:00:00;1;600000;11903
13;09.07.2010 0:00:00;1;600000;12025
14;09.07.2010 0:00:00;1;600000;11753
15;09.07.2010 0:00:00;1;600000;11229
16;09.07.2010 0:00:00;1;600000;10902
17;09.07.2010 0:00:00;1;600000;10882
18;09.07.2010 0:00:00;1;600000;10898
19;09.07.2010 0:00:00;1;600000;10751
20;09.07.2010 0:00:00;1;600000;10719
21;09.07.2010 0:00:00;1;600000;11143
22;09.07.2010 0:00:00;1;600000;10795
23;09.07.2010 0:00:00;1;600000;9968
0;10.07.2010 0:00:00;1;600000;9393
1;10.07.2010 0:00:00;1;600000;9150
2;10.07.2010 0:00:00;1;600000;8994
3;10.07.2010 0:00:00;1;600000;8769
4;10.07.2010 0:00:00;1;600000;8694
5;10.07.2010 0:00:00;1;600000;8849
